"hybrid" "dent" "flint" "GY" "GM" "hy"
"50" "D546:F316" "D546" "F316" -5.1 -0.56 "546:316"
"51" "D546:F323" "D546" "F323" -10.6 -3.47 "546:323"
"52" "D546:F444" "D546" "F444" 3.56 -2.11 "546:444"
"53" "D548:F305" "D548" "F305" -19.43 4.4 "548:305"
"54" "D548:F316" "D548" "F316" -3.28 1.15 "548:316"
"55" "D548:F323" "D548" "F323" -9.4 -1.26 "548:323"
"56" "D548:F444" "D548" "F444" -1.16 -0.09 "548:444"
"57" "D742:F305" "D742" "F305" -5.19 1.01 "742:305"
"58" "D742:F316" "D742" "F316" 11.02 -3.82 "742:316"
"59" "D742:F323" "D742" "F323" 3.68 -4.04 "742:323"
"60" "D742:F444" "D742" "F444" 13.09 -5.57 "742:444"
"61" "D743:F305" "D743" "F305" -13.55 0.81 "743:305"
"62" "D743:F316" "D743" "F316" 7.1 -3.75 "743:316"
"63" "D743:F323" "D743" "F323" 1.28 -4.9 "743:323"
"64" "D743:F444" "D743" "F444" 8.65 -4.39 "743:444"
"65" "D745:F305" "D745" "F305" -11.08 -0.92 "745:305"
"66" "D745:F316" "D745" "F316" 5.95 -4.59 "745:316"
"67" "D745:F323" "D745" "F323" 0.04 -5.42 "745:323"
"68" "D745:F444" "D745" "F444" 3.64 -5.22 "745:444"
"69" "D747:F305" "D747" "F305" -4.24 -1.78 "747:305"
"70" "D747:F316" "D747" "F316" 4.16 -5.6 "747:316"
"71" "D747:F323" "D747" "F323" -0.57 -4.92 "747:323"
"72" "D747:F444" "D747" "F444" 3.82 -6.32 "747:444"
"73" "D536:F306" "D536" "F306" -3.79 0.54 "536:306"
"74" "D536:F332" "D536" "F332" 5.69 -1.6 "536:332"
"75" "D536:F333" "D536" "F333" 4.05 -0.91 "536:333"
"76" "D536:F439" "D536" "F439" -2.94 -2.19 "536:439"
"77" "D536:F448" "D536" "F448" -18.14 -1.33 "536:448"
"78" "D536:F449" "D536" "F449" -3.25 -1.75 "536:449"
"79" "D536:F451" "D536" "F451" -4.79 -2 "536:451"
"80" "D545:F332" "D545" "F332" 3.25 -0.33 "545:332"
"81" "D545:F333" "D545" "F333" 3.99 -1.5 "545:333"
"82" "D545:F448" "D545" "F448" -15.08 -1.24 "545:448"
"83" "D545:F449" "D545" "F449" -1.86 -1.65 "545:449"
"84" "D545:F451" "D545" "F451" -4.27 -1.93 "545:451"
"85" "D729:F332" "D729" "F332" -5.26 1.53 "729:332"
"86" "D729:F333" "D729" "F333" -12.68 2.38 "729:333"
"87" "D729:F448" "D729" "F448" -15.18 1.56 "729:448"
"88" "D729:F449" "D729" "F449" -6.59 2.46 "729:449"
"89" "D729:F451" "D729" "F451" -12.2 3.2 "729:451"
"90" "D755:F332" "D755" "F332" -1.01 0.95 "755:332"
"91" "D755:F333" "D755" "F333" -6.83 1.48 "755:333"
"92" "D755:F448" "D755" "F448" -20.38 1.11 "755:448"
"93" "D755:F449" "D755" "F449" -11.42 2.02 "755:449"
"94" "D755:F451" "D755" "F451" -15.05 2.8 "755:451"
"95" "D518:F332" "D518" "F332" -6.64 1.01 "518:332"
"96" "D518:F451" "D518" "F451" -14.79 -1.13 "518:451"
"97" "D539:F306" "D539" "F306" -5.47 1.05 "539:306"
"98" "D539:F332" "D539" "F332" 4.49 -0.88 "539:332"
"99" "D539:F451" "D539" "F451" -6.74 -1.87 "539:451"
"100" "D546:F306" "D546" "F306" -14.65 3.22 "546:306"
"101" "D546:F332" "D546" "F332" -3.99 0.07 "546:332"
"102" "D546:F451" "D546" "F451" -9.58 1.42 "546:451"
"103" "D548:F306" "D548" "F306" -21.13 4.23 "548:306"
"104" "D548:F332" "D548" "F332" -9.62 1.87 "548:332"
"105" "D548:F451" "D548" "F451" -9.4 4.08 "548:451"
"106" "D550:F306" "D550" "F306" -12.04 0.89 "550:306"
"107" "D550:F332" "D550" "F332" -0.96 0.36 "550:332"
"108" "D550:F451" "D550" "F451" -9.34 -0.71 "550:451"
"109" "D552:F306" "D552" "F306" -13.26 2.35 "552:306"
"110" "D552:F332" "D552" "F332" -2.94 1.5 "552:332"
"111" "D552:F451" "D552" "F451" -5.9 0.45 "552:451"
"112" "D554:F306" "D554" "F306" -3.13 0.89 "554:306"
"113" "D554:F332" "D554" "F332" -0.71 -2.31 "554:332"
"114" "D554:F451" "D554" "F451" -9.77 -1.2 "554:451"
"115" "D742:F306" "D742" "F306" -8.85 1.1 "742:306"
"116" "D742:F332" "D742" "F332" 3.84 -1.94 "742:332"
"117" "D742:F451" "D742" "F451" -3.71 -1.77 "742:451"
"118" "D760:F306" "D760" "F306" -18.2 4.27 "760:306"
"119" "D760:F332" "D760" "F332" -6.2 0.5 "760:332"
"120" "D760:F451" "D760" "F451" -12.31 2.77 "760:451"
"121" "D762:F306" "D762" "F306" -17.07 3.84 "762:306"
"122" "D762:F332" "D762" "F332" -4.61 1.09 "762:332"
"123" "D762:F451" "D762" "F451" -8.61 2.79 "762:451"
"124" "D767:F306" "D767" "F306" -14.65 3.77 "767:306"
"125" "D767:F332" "D767" "F332" -4.13 0.53 "767:332"
"126" "D767:F451" "D767" "F451" -9.91 2.77 "767:451"
"127" "D536:F455" "D536" "F455" -0.47 0.04 "536:455"
"128" "D536:F456" "D536" "F456" -2.36 -3.1 "536:456"
"129" "D536:F464" "D536" "F464" -7.45 -2.08 "536:464"
"130" "D545:F455" "D545" "F455" -2.1 -1.07 "545:455"
"131" "D545:F456" "D545" "F456" 2.3 -2.47 "545:456"
"132" "D545:F457" "D545" "F457" -2.68 -1.81 "545:457"
"133" "D545:F464" "D545" "F464" -3.78 -0.94 "545:464"
"134" "D545:F469" "D545" "F469" 1.2 -3.55 "545:469"
"135" "D755:F455" "D755" "F455" -13.29 2.21 "755:455"
"136" "D755:F456" "D755" "F456" -9.62 1.41 "755:456"
"137" "D755:F464" "D755" "F464" -11.99 0.84 "755:464"
"138" "D755:F469" "D755" "F469" -8.27 -0.56 "755:469"
"139" "D760:F316" "D760" "F316" -2.77 -2.6 "760:316"
"140" "D760:F333" "D760" "F333" -8.04 1.02 "760:333"
"141" "D760:F455" "D760" "F455" -7.81 0.05 "760:455"
"142" "D760:F456" "D760" "F456" -8.06 -0.73 "760:456"
"143" "D763:F305" "D763" "F305" -16.04 3.88 "763:305"
"144" "D763:F332" "D763" "F332" -7.03 1.49 "763:332"
"145" "D763:F333" "D763" "F333" -7.52 1.57 "763:333"
"146" "D763:F456" "D763" "F456" -12.13 0.61 "763:456"
"147" "D536:F457" "D536" "F457" 5.5 -3.54 "536:457"
"148" "D536:F469" "D536" "F469" 1.76 -2.71 "536:469"
"149" "D729:F456" "D729" "F456" -13.7 1.54 "729:456"
"150" "D755:F457" "D755" "F457" -5.98 -0.36 "755:457"
"151" "D760:F305" "D760" "F305" -14.48 3.07 "760:305"
"152" "D760:F449" "D760" "F449" -6.27 -0.5 "760:449"
"153" "D760:F457" "D760" "F457" -10.66 -3.15 "760:457"
"154" "D760:F464" "D760" "F464" -15.91 -0.48 "760:464"
"155" "D760:F469" "D760" "F469" -4.59 -1.79 "760:469"
"156" "D518:F333" "D518" "F333" -2.37 0.14 "518:333"
"157" "D518:F456" "D518" "F456" -8.67 -0.15 "518:456"
"158" "D552:F305" "D552" "F305" -5.46 2.78 "552:305"
"159" "D552:F333" "D552" "F333" -3.11 0.16 "552:333"
"160" "D552:F456" "D552" "F456" -1.38 -0.96 "552:456"
"161" "D554:F305" "D554" "F305" -4.04 0.53 "554:305"
"162" "D554:F333" "D554" "F333" 1.89 -2.08 "554:333"
"163" "D554:F456" "D554" "F456" -2.33 -3.4 "554:456"
"164" "D557:F305" "D557" "F305" -15.04 2.82 "557:305"
"165" "D557:F332" "D557" "F332" -4.69 0.7 "557:332"
"166" "D557:F333" "D557" "F333" -8.06 1.83 "557:333"
"167" "D557:F456" "D557" "F456" -13.2 0.84 "557:456"
"168" "D559:F305" "D559" "F305" -19.59 4.82 "559:305"
"169" "D559:F332" "D559" "F332" -14.6 4.51 "559:332"
"170" "D559:F333" "D559" "F333" -11.09 4.08 "559:333"
"171" "D559:F456" "D559" "F456" -23.36 4.71 "559:456"
"172" "D560:F305" "D560" "F305" -7.93 2.19 "560:305"
"173" "D560:F332" "D560" "F332" -2.6 1.68 "560:332"
"174" "D560:F333" "D560" "F333" -1.77 0.48 "560:333"
"175" "D560:F456" "D560" "F456" -0.73 -0.89 "560:456"
"176" "D572:F305" "D572" "F305" -10.47 2.06 "572:305"
"177" "D572:F332" "D572" "F332" -3.8 -0.41 "572:332"
"178" "D572:F333" "D572" "F333" -6.41 0.07 "572:333"
"179" "D572:F456" "D572" "F456" -5.68 -1.79 "572:456"
"180" "D576:F305" "D576" "F305" -7.48 1.71 "576:305"
"181" "D576:F332" "D576" "F332" -2.72 -0.48 "576:332"
"182" "D576:F333" "D576" "F333" 0.61 0.23 "576:333"
"183" "D576:F456" "D576" "F456" -6.72 -0.82 "576:456"
"184" "D577:F305" "D577" "F305" -10.7 1.31 "577:305"
"185" "D577:F332" "D577" "F332" 1.7 -0.88 "577:332"
"186" "D577:F333" "D577" "F333" -1.6 -1.27 "577:333"
"187" "D577:F456" "D577" "F456" -5.58 -1.82 "577:456"
"188" "D545:F330" "D545" "F330" 3.58 -0.1 "545:330"
"189" "D545:F336" "D545" "F336" 4.96 -2.82 "545:336"
"190" "D545:F340" "D545" "F340" 10.97 -1.67 "545:340"
"191" "D545:F467" "D545" "F467" 4.11 -1.66 "545:467"
"192" "D545:F475" "D545" "F475" 9.22 -1.64 "545:475"
"193" "D552:F330" "D552" "F330" 3.96 1.45 "552:330"
"194" "D552:F336" "D552" "F336" -4.4 -0.44 "552:336"
"195" "D552:F340" "D552" "F340" 7.47 0.3 "552:340"
"196" "D552:F467" "D552" "F467" -13.19 -0.86 "552:467"
"197" "D552:F475" "D552" "F475" -0.42 0.87 "552:475"
"198" "D558:F330" "D558" "F330" -3.36 1.98 "558:330"
"199" "D558:F332" "D558" "F332" -6.07 1.27 "558:332"
"200" "D558:F336" "D558" "F336" -0.95 -0.03 "558:336"
"201" "D558:F340" "D558" "F340" 5.12 0.99 "558:340"
"202" "D558:F456" "D558" "F456" -13.29 0.8 "558:456"
"203" "D558:F467" "D558" "F467" -2.74 0.65 "558:467"
"204" "D558:F475" "D558" "F475" -6.35 1.46 "558:475"
"205" "D560:F330" "D560" "F330" 2.82 1.69 "560:330"
"206" "D560:F336" "D560" "F336" 3.38 -1.27 "560:336"
"207" "D560:F340" "D560" "F340" 9.96 0.07 "560:340"
"208" "D560:F467" "D560" "F467" 1.57 -1.22 "560:467"
"209" "D560:F475" "D560" "F475" 5.32 0.13 "560:475"
"210" "D565:F330" "D565" "F330" -4.5 1.68 "565:330"
"211" "D565:F336" "D565" "F336" -2.2 -0.11 "565:336"
"212" "D565:F340" "D565" "F340" 3.26 -0.09 "565:340"
"213" "D565:F456" "D565" "F456" -9.46 -0.45 "565:456"
"214" "D565:F467" "D565" "F467" -3.18 -0.98 "565:467"
"215" "D565:F475" "D565" "F475" -5.92 0.14 "565:475"
"216" "D575:F330" "D575" "F330" 5.11 -1.29 "575:330"
"217" "D575:F332" "D575" "F332" -12 -0.81 "575:332"
"218" "D575:F336" "D575" "F336" -2.9 -2.4 "575:336"
"219" "D575:F340" "D575" "F340" 5.53 -2.52 "575:340"
"220" "D575:F456" "D575" "F456" 5.28 -3.23 "575:456"
"221" "D575:F467" "D575" "F467" -7.76 -2.67 "575:467"
"222" "D575:F475" "D575" "F475" 2.56 -2.32 "575:475"
"223" "D578:F330" "D578" "F330" -0.14 2.19 "578:330"
"224" "D578:F332" "D578" "F332" -3.94 2.09 "578:332"
"225" "D578:F336" "D578" "F336" 8.77 -0.08 "578:336"
"226" "D578:F340" "D578" "F340" 4.3 1.57 "578:340"
"227" "D578:F456" "D578" "F456" -10.32 0.66 "578:456"
"228" "D578:F467" "D578" "F467" 0.45 0.21 "578:467"
"229" "D578:F475" "D578" "F475" -2.93 1.57 "578:475"
"230" "D755:F330" "D755" "F330" -6.59 1.8 "755:330"
"231" "D755:F336" "D755" "F336" -2.32 -0.02 "755:336"
"232" "D755:F340" "D755" "F340" -5.52 0.8 "755:340"
"233" "D755:F467" "D755" "F467" -8.49 1.46 "755:467"
"234" "D755:F475" "D755" "F475" -18.13 1.54 "755:475"
"235" "D763:F330" "D763" "F330" 2.85 2.39 "763:330"
"236" "D763:F336" "D763" "F336" -8.26 0.59 "763:336"
"237" "D763:F340" "D763" "F340" -1.48 0.91 "763:340"
"238" "D763:F467" "D763" "F467" -9.07 0.44 "763:467"
"239" "D763:F475" "D763" "F475" -10.31 1.67 "763:475"
"240" "D773:F330" "D773" "F330" -0.37 1.06 "773:330"
"241" "D773:F332" "D773" "F332" -2.48 0.08 "773:332"
"242" "D773:F336" "D773" "F336" 2.22 -0.81 "773:336"
"243" "D773:F340" "D773" "F340" 0.22 0.06 "773:340"
"244" "D773:F456" "D773" "F456" -12.49 -0.01 "773:456"
"245" "D773:F467" "D773" "F467" -7.04 0.25 "773:467"
"246" "D773:F475" "D773" "F475" -14.9 2.65 "773:475"
"247" "D776:F330" "D776" "F330" -16.05 1.88 "776:330"
"248" "D776:F332" "D776" "F332" -16.59 0.63 "776:332"
"249" "D776:F336" "D776" "F336" -4.07 -0.53 "776:336"
"250" "D776:F340" "D776" "F340" -4.72 1.71 "776:340"
"251" "D776:F456" "D776" "F456" -21.57 0.51 "776:456"
"252" "D776:F467" "D776" "F467" -16.49 0.75 "776:467"
"253" "D776:F475" "D776" "F475" -10.19 1.96 "776:475"
"254" "D777:F330" "D777" "F330" -9.62 1.56 "777:330"
"255" "D777:F332" "D777" "F332" -8.5 0.27 "777:332"
"256" "D777:F336" "D777" "F336" -4.43 1.05 "777:336"
"257" "D777:F340" "D777" "F340" -2.57 1.2 "777:340"
"258" "D777:F456" "D777" "F456" -12.65 0.17 "777:456"
"259" "D777:F467" "D777" "F467" -7.22 0.88 "777:467"
"260" "D777:F475" "D777" "F475" -8.79 1.35 "777:475"
"261" "D785:F330" "D785" "F330" -17.55 1.78 "785:330"
"262" "D785:F336" "D785" "F336" -11.37 0.26 "785:336"
"263" "D785:F340" "D785" "F340" 0.74 0.61 "785:340"
"264" "D785:F456" "D785" "F456" -9.17 -0.38 "785:456"
"265" "D785:F467" "D785" "F467" -11.21 0.01 "785:467"
"266" "D785:F475" "D785" "F475" -6.59 0.7 "785:475"
"267" "D791:F330" "D791" "F330" -4.97 0.12 "791:330"
"268" "D791:F332" "D791" "F332" -3.32 -0.66 "791:332"
"269" "D791:F336" "D791" "F336" 2.05 -1.5 "791:336"
"270" "D791:F340" "D791" "F340" 10.74 -1.02 "791:340"
"271" "D791:F456" "D791" "F456" -2.11 -1.85 "791:456"
"272" "D791:F467" "D791" "F467" 0.06 -0.14 "791:467"
"273" "D791:F475" "D791" "F475" -2.72 -0.98 "791:475"
"274" "D793:F330" "D793" "F330" -6.17 0.75 "793:330"
"275" "D793:F332" "D793" "F332" -3.89 -0.87 "793:332"
"276" "D793:F336" "D793" "F336" -8.93 -2 "793:336"
"277" "D793:F456" "D793" "F456" -5.21 -0.79 "793:456"
"278" "D793:F467" "D793" "F467" -7.84 -0.3 "793:467"
"279" "D793:F475" "D793" "F475" 1.08 0.47 "793:475"
"280" "D794:F330" "D794" "F330" -1.49 1.2 "794:330"
"281" "D794:F332" "D794" "F332" -4.12 -0.02 "794:332"
"282" "D794:F336" "D794" "F336" -5.79 0.29 "794:336"
"283" "D794:F340" "D794" "F340" 3.31 1.07 "794:340"
"284" "D794:F456" "D794" "F456" -6.59 0.48 "794:456"
"285" "D794:F467" "D794" "F467" -3.52 0.42 "794:467"
"286" "D794:F475" "D794" "F475" -6.9 1.09 "794:475"
"287" "D565:F332" "D565" "F332" -15.77 3.29 "565:332"
"288" "D785:F332" "D785" "F332" -12.14 -0.03 "785:332"
"289" "D536:F330" "D536" "F330" 1.75 0.14 "536:330"
"290" "D536:F338" "D536" "F338" 11.62 -1.64 "536:338"
"291" "D536:F340" "D536" "F340" 7.4 -2.26 "536:340"
"292" "D536:F341" "D536" "F341" 6.51 1.08 "536:341"
"293" "D536:F345" "D536" "F345" 5.88 -1.76 "536:345"
"294" "D536:F347" "D536" "F347" 7.78 -1.34 "536:347"
"295" "D536:F473" "D536" "F473" 9.61 -2.04 "536:473"
"296" "D536:F477" "D536" "F477" 9.12 -3.05 "536:477"
"297" "D536:F478" "D536" "F478" -2.59 -2.14 "536:478"
"298" "D536:F479" "D536" "F479" 6.28 -2.28 "536:479"
"299" "D536:F482" "D536" "F482" 1.35 -3.91 "536:482"
"300" "D545:F338" "D545" "F338" 14.5 -1.13 "545:338"
"301" "D545:F341" "D545" "F341" 0.66 2.69 "545:341"
"302" "D545:F345" "D545" "F345" 1.43 0.11 "545:345"
"303" "D545:F347" "D545" "F347" -0.85 0.19 "545:347"
"304" "D545:F473" "D545" "F473" -0.63 0.63 "545:473"
"305" "D545:F477" "D545" "F477" 3.73 -2.1 "545:477"
"306" "D545:F478" "D545" "F478" -1.44 -0.97 "545:478"
"307" "D545:F479" "D545" "F479" 6.49 -0.09 "545:479"
"308" "D545:F482" "D545" "F482" 0.81 -2.79 "545:482"
"309" "D560:F323" "D560" "F323" 10.87 -4.13 "560:323"
"310" "D560:F338" "D560" "F338" 9.4 -0.48 "560:338"
"311" "D560:F341" "D560" "F341" -3.69 4.82 "560:341"
"312" "D560:F345" "D560" "F345" 1.31 1.86 "560:345"
"313" "D560:F347" "D560" "F347" 4.16 2.54 "560:347"
"314" "D560:F473" "D560" "F473" -10.24 0.07 "560:473"
"315" "D560:F477" "D560" "F477" 6.73 -1.52 "560:477"
"316" "D560:F478" "D560" "F478" -4.92 1.73 "560:478"
"317" "D560:F479" "D560" "F479" 4.64 1.1 "560:479"
"318" "D560:F482" "D560" "F482" 1.42 -0.82 "560:482"
"319" "D578:F323" "D578" "F323" -10.26 -3.23 "578:323"
"320" "D578:F338" "D578" "F338" 7.96 1.23 "578:338"
"321" "D578:F341" "D578" "F341" -2.81 3.97 "578:341"
"322" "D578:F345" "D578" "F345" -2.3 1.29 "578:345"
"323" "D578:F347" "D578" "F347" 2.83 2.2 "578:347"
"324" "D578:F473" "D578" "F473" -3.32 2 "578:473"
"325" "D578:F477" "D578" "F477" 1 -1.26 "578:477"
"326" "D578:F478" "D578" "F478" -4.61 0.65 "578:478"
"327" "D578:F479" "D578" "F479" 4.15 -0.36 "578:479"
"328" "D578:F482" "D578" "F482" -2.03 -0.99 "578:482"
"329" "D580:F323" "D580" "F323" -1.81 -1.54 "580:323"
"330" "D580:F330" "D580" "F330" -8.56 3.29 "580:330"
"331" "D580:F332" "D580" "F332" -0.35 2.22 "580:332"
"332" "D580:F338" "D580" "F338" 1.1 3.91 "580:338"
"333" "D580:F340" "D580" "F340" -5.6 4.51 "580:340"
"334" "D580:F473" "D580" "F473" -6.47 3 "580:473"
"335" "D581:F323" "D581" "F323" -6.49 -4.54 "581:323"
"336" "D581:F330" "D581" "F330" -4.65 1.65 "581:330"
"337" "D581:F332" "D581" "F332" 2.29 -0.7 "581:332"
"338" "D581:F338" "D581" "F338" 4.3 1.38 "581:338"
"339" "D581:F340" "D581" "F340" 7.47 1.5 "581:340"
"340" "D581:F473" "D581" "F473" 1.09 1.39 "581:473"
"341" "D582:F323" "D582" "F323" 2.92 -4.22 "582:323"
"342" "D582:F330" "D582" "F330" -3.23 1.22 "582:330"
"343" "D582:F332" "D582" "F332" -0.86 0.03 "582:332"
"344" "D582:F338" "D582" "F338" 7.05 0.95 "582:338"
"345" "D582:F340" "D582" "F340" 1.56 0.97 "582:340"
"346" "D582:F473" "D582" "F473" -2.04 0.18 "582:473"
"347" "D584:F323" "D584" "F323" -8.58 -2.21 "584:323"
"348" "D584:F330" "D584" "F330" -5.41 2.38 "584:330"
"349" "D584:F332" "D584" "F332" -0.61 2.53 "584:332"
"350" "D584:F338" "D584" "F338" 1.75 1.62 "584:338"
"351" "D584:F340" "D584" "F340" 1.16 3.12 "584:340"
"352" "D584:F473" "D584" "F473" -10.67 2.58 "584:473"
"353" "D586:F323" "D586" "F323" -7.88 -5.04 "586:323"
"354" "D586:F330" "D586" "F330" -3.37 0.19 "586:330"
"355" "D586:F332" "D586" "F332" 1.63 -0.3 "586:332"
"356" "D586:F338" "D586" "F338" -0.65 -0.8 "586:338"
"357" "D586:F340" "D586" "F340" 0.3 -0.63 "586:340"
"358" "D586:F473" "D586" "F473" -4.29 -0.46 "586:473"
"359" "D587:F323" "D587" "F323" -10.63 -5.62 "587:323"
"360" "D587:F330" "D587" "F330" -7.76 -0.32 "587:330"
"361" "D587:F332" "D587" "F332" -2.18 0.5 "587:332"
"362" "D587:F338" "D587" "F338" 1.72 0.43 "587:338"
"363" "D587:F340" "D587" "F340" -2.76 0.57 "587:340"
"364" "D587:F473" "D587" "F473" -5.8 -0.37 "587:473"
"365" "D592:F323" "D592" "F323" -10.67 -6.63 "592:323"
"366" "D592:F330" "D592" "F330" -7.33 -0.05 "592:330"
"367" "D592:F332" "D592" "F332" 0.99 -1.97 "592:332"
"368" "D592:F338" "D592" "F338" 2.69 -1.98 "592:338"
"369" "D592:F340" "D592" "F340" -1.49 -1.35 "592:340"
"370" "D592:F473" "D592" "F473" -1.42 -1.2 "592:473"
"371" "D593:F323" "D593" "F323" -10.38 -6.79 "593:323"
"372" "D593:F330" "D593" "F330" -5.22 -1.25 "593:330"
"373" "D593:F332" "D593" "F332" 6.84 -2.11 "593:332"
"374" "D593:F338" "D593" "F338" 5.99 -1.34 "593:338"
"375" "D593:F340" "D593" "F340" 0.23 -2.6 "593:340"
"376" "D593:F473" "D593" "F473" 0.05 -1.85 "593:473"
"377" "D595:F323" "D595" "F323" 2.61 -6.2 "595:323"
"378" "D595:F330" "D595" "F330" -2.92 -0.83 "595:330"
"379" "D595:F332" "D595" "F332" -2.74 -2.62 "595:332"
"380" "D595:F338" "D595" "F338" 8.63 -2.94 "595:338"
"381" "D595:F340" "D595" "F340" 3.32 -3.7 "595:340"
"382" "D595:F473" "D595" "F473" -2.76 -3.13 "595:473"
"383" "D596:F323" "D596" "F323" -1.39 -5.84 "596:323"
"384" "D596:F330" "D596" "F330" -0.66 -1.75 "596:330"
"385" "D596:F332" "D596" "F332" 7.87 -1.41 "596:332"
"386" "D596:F338" "D596" "F338" 11.1 -2.43 "596:338"
"387" "D596:F340" "D596" "F340" 10.96 -2.48 "596:340"
"388" "D596:F341" "D596" "F341" -1.02 2.44 "596:341"
"389" "D596:F345" "D596" "F345" 3.31 -2.84 "596:345"
"390" "D596:F347" "D596" "F347" 5.61 -2.23 "596:347"
"391" "D596:F473" "D596" "F473" 3.37 -2.26 "596:473"
"392" "D596:F477" "D596" "F477" 7.48 -3.73 "596:477"
"393" "D596:F478" "D596" "F478" -6.69 -1.31 "596:478"
"394" "D596:F479" "D596" "F479" 5.62 -1.01 "596:479"
"395" "D596:F482" "D596" "F482" 6.97 -4.31 "596:482"
"396" "D773:F323" "D773" "F323" -4.28 -6.62 "773:323"
"397" "D773:F338" "D773" "F338" -1.89 0.55 "773:338"
"398" "D773:F341" "D773" "F341" -14.43 4.39 "773:341"
"399" "D773:F345" "D773" "F345" -6.63 0.55 "773:345"
"400" "D773:F347" "D773" "F347" -2.94 1.85 "773:347"
"401" "D773:F473" "D773" "F473" -9.37 0.32 "773:473"
"402" "D773:F477" "D773" "F477" 2.04 -1.65 "773:477"
"403" "D773:F478" "D773" "F478" -8.93 2.52 "773:478"
"404" "D773:F479" "D773" "F479" -5.76 1.99 "773:479"
"405" "D773:F482" "D773" "F482" -3.5 -0.56 "773:482"
"406" "D545:F483" "D545" "F483" 5.19 -0.74 "545:483"
"407" "D560:F483" "D560" "F483" -2.8 0.43 "560:483"
"408" "D583:F338" "D583" "F338" 0.07 1.97 "583:338"
"409" "D583:F340" "D583" "F340" -4.91 2.86 "583:340"
"410" "D583:F345" "D583" "F345" -9.7 1.7 "583:345"
"411" "D584:F345" "D584" "F345" -7.97 1.96 "584:345"
"412" "D584:F483" "D584" "F483" -6.41 2.33 "584:483"
"413" "D597:F338" "D597" "F338" -0.06 -0.41 "597:338"
"414" "D597:F340" "D597" "F340" -14.59 0.19 "597:340"
"415" "D597:F345" "D597" "F345" -18.03 -0.18 "597:345"
"416" "D597:F483" "D597" "F483" -11.78 0.4 "597:483"
