"Chrom"	"Pos"	"Name"	"Class"	"Markers"
"32"	1	3078783	"b000031"	"b"	"SYN11127;"
"33"	1	3130961	"b000032"	"b"	"SYNGENTA17310;"
"34"	1	3186428	"b000033"	"b"	"SYN30742;SYN30740;SYN30751;SYN30756;SYN30757;SYN30738;"
"35"	1	3194019	"b000034"	"b"	"SYN30746;"
"36"	1	3195916	"b000035"	"b"	"SYN30737;"
"37"	1	3270679	"b000036"	"b"	"PZE.101002887;"
"38"	1	3278670	"b000037"	"b"	"PZE.101002919;"
"39"	1	3281217	"b000038"	"b"	"SYN30755;"
"40"	1	3282920	"b000039"	"b"	"PZE.101003026;"
"41"	1	3356688	"b000040"	"b"	"PZE.101003115;"
"42"	1	3360440	"b000041"	"b"	"PZE.101003133;"
"43"	1	3365050.5	"b000042"	"b"	"SYN9381;SYN9380;"
"44"	1	3366796.5	"b000043"	"b"	"SYN9363;SYN9377;"
"45"	1	3368705	"b000044"	"b"	"SYN9378;"
"46"	1	3406384.5	"b000045"	"b"	"SYN9361;SYNGENTA16820;"
"47"	1	3407844	"b000046"	"b"	"SYN9365;"
"48"	1	3665549	"b000047"	"b"	"PZE.101003785;"
"49"	1	3665571	"b000048"	"b"	"SYN11492;"
"50"	1	3708518	"b000049"	"b"	"SYN11493;"
"51"	1	3709187	"b000050"	"b"	"SYN11490;"
"52"	1	3709841.5	"b000051"	"b"	"SYN11500;SYN11501;SYN11503;"
"53"	1	3733167	"b000052"	"b"	"PZA02129.1;"
"54"	1	3830498	"b000053"	"b"	"PZE.101004337;"
"55"	1	3882714	"b000054"	"b"	"PZE.101004387;"
"56"	1	4022585	"b000055"	"b"	"SYN10467;"
"57"	1	4040725	"b000056"	"b"	"SYN10469;"
"58"	1	4193258	"b000057"	"b"	"PZA00393.1;"
"59"	1	4241458	"b000058"	"b"	"PUT.163a.29543981.1758;"
"60"	1	4379950	"b000059"	"b"	"SYN5934;SYN5936;PZE.101005818;PZE.101005806;"
"61"	1	4608015	"b000060"	"b"	"PZA02869.8;"
"62"	1	4609260	"b000061"	"b"	"PZE.101005765;"
"63"	1	4609477	"b000062"	"b"	"PZE.101005766;"
"64"	1	4610354	"b000063"	"b"	"PZE.101005770;"
"65"	1	4758589	"b000064"	"b"	"PUT.163a.50325923.2184;"
"66"	1	4764811	"b000065"	"b"	"SYN10708;"
"67"	1	4765903	"b000066"	"b"	"SYN10711;"
"68"	1	4766304	"b000067"	"b"	"SYN10715;"
"69"	1	4796398	"b000068"	"b"	"PZE.101006745;"
"70"	1	4993529	"b000069"	"b"	"PZE.101006890;"
"71"	1	5327191.5	"b000070"	"b"	"SYN36149;SYN36143;"
"72"	1	5327583	"b000071"	"b"	"PZA01022.1;"
"73"	1	5438841	"b000072"	"b"	"SYN10139;"
"74"	1	5653264	"b000073"	"b"	"PZE.101009163;"
"75"	1	5732049	"b000074"	"b"	"PZE.101009528;"
"76"	1	5740337.5	"b000075"	"b"	"PUT.163a.86470789.4502;PUT.163a.86470789.4504;PUT.163a.86470789.4503;"
"77"	1	5749106	"b000076"	"b"	"PZE.101009312;PZE.101009310;"
"78"	1	5809260	"b000077"	"b"	"PZE.101009215;"
"79"	1	5954473	"b000078"	"b"	"PZE.101009670;"
"80"	1	6197174	"b000079"	"b"	"SYN6315;SYN6312;SYN6339;SYN6338;SYN6314;"
"81"	1	6210689.5	"b000080"	"b"	"SYN6335;SYN6346;SYN6318;"
"82"	1	6234278	"b000081"	"b"	"SYN6317;"
"83"	1	6234957	"b000082"	"b"	"SYN6320;"
"84"	1	6236377	"b000083"	"b"	"SYN6337;"
"85"	1	6246273	"b000084"	"b"	"PUT.163a.29543882.1755;"
"86"	1	6427895	"b000085"	"b"	"SYN36524;PZE.101010821;"
"87"	1	6547172	"b000086"	"b"	"PUT.163a.148991740.712;"
"88"	1	6777249	"b000087"	"b"	"PZE.101011197;"
"89"	1	6852707	"b000088"	"b"	"PZE.101011230;ZM012984.0229;SYN13174;SYN13185;SYN13177;SYN13165;SYN13178;"
"90"	1	6923719	"b000089"	"b"	"SYN13171;"
"91"	1	7046272	"b000090"	"b"	"SYN7705;"
"92"	1	7080152	"b000091"	"b"	"SYN7702;"
"93"	1	7124461.5	"b000092"	"b"	"SYN7697;PZE.101011906;SYN7698;"
"94"	1	7168240	"b000093"	"b"	"SYN7696;"
"95"	1	7193037	"b000094"	"b"	"SYN20420;"
"96"	1	7347504	"b000095"	"b"	"PZE.101012517;"
"97"	1	7348100	"b000096"	"b"	"SYN12338;"
"98"	1	7456817	"b000097"	"b"	"SYN13394;"
"99"	1	7565560	"b000098"	"b"	"SYN13395;"
"100"	1	7699553	"b000099"	"b"	"SYN13518;"
"101"	1	7715511	"b000100"	"b"	"PZE.101013646;"
"102"	1	7824668	"b000101"	"b"	"PZE.101013713;"
"103"	1	7861023	"b000102"	"b"	"PZE.101013772;"
"104"	1	7864677	"b000103"	"b"	"PZE.101013802;PHM1699.29;SYN10900;"
"105"	1	7966192	"b000104"	"b"	"SYN6411;"
"106"	1	7966195	"b000105"	"b"	"SYN6413;"
"107"	1	7998309	"b000106"	"b"	"PZE.101014003;"
"108"	1	8032199	"b000107"	"b"	"PZE.101014135;"
"109"	1	8100477	"b000108"	"b"	"PZE.101014266;"
"110"	1	8139917	"b000109"	"b"	"SYN6742;SYN6739;SYN6733;"
"111"	1	8351500	"b000110"	"b"	"SYN35551;"
"112"	1	8351543	"b000111"	"b"	"SYN35550;"
"113"	1	8352937	"b000112"	"b"	"SYN35545;"
"114"	1	8353079	"b000113"	"b"	"PZA00528.1;"
"115"	1	8355740	"b000114"	"b"	"SYN35543;"
"116"	1	8517020	"b000115"	"b"	"SYN11909;"
"117"	1	8587669	"b000116"	"b"	"PZA.000175002;SYN11906;"
"118"	1	8620196.5	"b000117"	"b"	"SYN11911;SYN11912;SYN11929;"
"119"	1	8623212	"b000118"	"b"	"SYN11908;"
"120"	1	8631016	"b000119"	"b"	"SYN11910;"
"121"	1	8633468	"b000120"	"b"	"PZE.101015469;"
"122"	1	8633823	"b000121"	"b"	"PZE.101015471;"
"123"	1	8946275	"b000122"	"b"	"SYN6207;"
"124"	1	8974234	"b000123"	"b"	"SYN6208;"
"125"	1	8979420	"b000124"	"b"	"SYN6209;"
"126"	1	9052575	"b000125"	"b"	"PZA00447.5;"
"127"	1	9052706	"b000126"	"b"	"PZA00447.6;PZA00447.8;"
"128"	1	9058572	"b000127"	"b"	"PZB01915.1;"
"129"	1	9060038	"b000128"	"b"	"SYNGENTA14387;"
"130"	1	9304156	"b000129"	"b"	"PZA00731.6;"
"131"	1	9304303	"b000130"	"b"	"PZA00731.7;"
"132"	1	9305229	"b000131"	"b"	"PZE.101016495;"
"133"	1	9305256	"b000132"	"b"	"PZE.101016496;"
"134"	1	9359056	"b000133"	"b"	"SYN21171;"
"135"	1	9359125	"b000134"	"b"	"SYN21174;"
"136"	1	9396379	"b000135"	"b"	"SYN14137;"
"137"	1	9397533	"b000136"	"b"	"SYN14140;"
"138"	1	9433811	"b000137"	"b"	"SYN14142;"
"139"	1	9434247	"b000138"	"b"	"SYN14141;"
"140"	1	9434379	"b000139"	"b"	"SYN14147;"
"141"	1	9434769.5	"b000140"	"b"	"SYN14146;SYN14145;SYN14144;SYN14143;SYN14138;"
"142"	1	9435426	"b000141"	"b"	"PZE.101016973;"
"143"	1	9547141	"b000142"	"b"	"SYN10548;SYN10549;SYN10543;PZE.101017187;SYN10542;"
"144"	1	9581910	"b000143"	"b"	"PZE.101017262;"
"145"	1	9956621	"b000144"	"b"	"PZE.101017487;"
"146"	1	9989779	"b000145"	"b"	"SYN5905;"
"147"	1	10088737	"b000146"	"b"	"SYN2431;"
"148"	1	10088946	"b000147"	"b"	"SYN2434;"
"149"	1	10093142	"b000148"	"b"	"PZA03519.2;"
"150"	1	10096183	"b000149"	"b"	"PZE.101017779;"
"151"	1	10533538	"b000150"	"b"	"PZE.101018023;"
"152"	1	10542800	"b000151"	"b"	"PZE.101018199;"
"153"	1	10589088	"b000152"	"b"	"PZE.101018356;"
"154"	1	10667363	"b000153"	"b"	"PZE.101018400;"
"155"	1	10674064	"b000154"	"b"	"PZE.101018411;"
"156"	1	10820153	"b000155"	"b"	"PZE.101018516;"
"157"	1	10826196	"b000156"	"b"	"PZE.101018567;"
"158"	1	10844119	"b000157"	"b"	"PZE.101018668;"
"159"	1	10897853	"b000158"	"b"	"PZE.101018729;"
"160"	1	10900905	"b000159"	"b"	"PZE.101018769;"
"161"	1	10905137	"b000160"	"b"	"PZE.101018818;"
"162"	1	10905399	"b000161"	"b"	"PZE.101018826;"
"163"	1	11110601	"b000162"	"b"	"PZE.101019334;"
"164"	1	11114825	"b000163"	"b"	"PZE.101019350;"
"165"	1	11392202.5	"b000164"	"b"	"PZE.101019536;PZE.101019537;PZE.101019538;"
"166"	1	11399303	"b000165"	"b"	"PZE.101019557;"
"167"	1	11473826	"b000166"	"b"	"PZE.101019597;"
"168"	1	11481415	"b000167"	"b"	"SYN5764;"
"169"	1	11488064	"b000168"	"b"	"PZE.101019726;"
"170"	1	11488397	"b000169"	"b"	"PZE.101019727;"
"171"	1	11488804	"b000170"	"b"	"PZE.101019728;"
"172"	1	11646969.5	"b000171"	"b"	"PZE.101019767;PZE.101019781;PZE.101019853;"
"173"	1	11911814	"b000172"	"b"	"SYN20883;"
"174"	1	11942313	"b000173"	"b"	"SYN20882;"
"175"	1	11952202	"b000174"	"b"	"SYN20881;"
"176"	1	11985908	"b000175"	"b"	"PUT.163a.4647212.2116;"
"177"	1	11989022	"b000176"	"b"	"SYN34345;"
"178"	1	11989100	"b000177"	"b"	"SYN34331;"
"179"	1	11989549	"b000178"	"b"	"SYN34328;"
"180"	1	11989852	"b000179"	"b"	"SYN34334;"
"181"	1	11991910	"b000180"	"b"	"SYN34342;"
"182"	1	11993357	"b000181"	"b"	"SYN34329;"
"183"	1	12149892	"b000182"	"b"	"PZE.101020456;"
"184"	1	12165573	"b000183"	"b"	"PUT.163a.4609499.2076;"
"185"	1	12167256	"b000184"	"b"	"SYN33818;"
"186"	1	12175324	"b000185"	"b"	"SYN33828;"
"187"	1	12175338	"b000186"	"b"	"SYN33835;"
"188"	1	12189050	"b000187"	"b"	"SYN33821;SYN33825;"
"189"	1	12251110	"b000188"	"b"	"PZE.101020931;"
"190"	1	12255563	"b000189"	"b"	"PZE.101020971;"
"191"	1	12352106	"b000190"	"b"	"PZE.101021308;"
"192"	1	12362508	"b000191"	"b"	"PZE.101021455;"
"193"	1	12397056	"b000192"	"b"	"PZE.101021479;"
"194"	1	12487014	"b000193"	"b"	"PZE.101021690;"
"195"	1	12498324	"b000194"	"b"	"PZE.101021745;"
"196"	1	12517267	"b000195"	"b"	"PUT.163a.89250869.4646;"
"197"	1	12517303	"b000196"	"b"	"PUT.163a.31558578.1965;"
"198"	1	12518476	"b000197"	"b"	"PZE.101021926;"
"199"	1	12519269	"b000198"	"b"	"PZE.101021930;"
"200"	1	12545149.5	"b000199"	"b"	"SYN20615;SYN20612;SYN20617;PZE.101021985;PZE.101021986;PZE.101021997;"
"201"	1	12822345	"b000200"	"b"	"PZE.101022341;"
"202"	1	12946006	"b000201"	"b"	"PZE.101022796;"
"203"	1	12988936	"b000202"	"b"	"SYN12545;"
"204"	1	12989714	"b000203"	"b"	"PZA03557.1;"
"205"	1	12990057	"b000204"	"b"	"SYN12536;"
"206"	1	13539360	"b000205"	"b"	"SYN20040;"
"207"	1	13539363	"b000206"	"b"	"SYN20039;"
"208"	1	13559407	"b000207"	"b"	"PZE.101023271;"
"209"	1	13598256	"b000208"	"b"	"SYN20032;SYN20031;"
"210"	1	13642580	"b000209"	"b"	"SYN20034;"
"211"	1	13684372	"b000210"	"b"	"SYN14642;"
"212"	1	13686253	"b000211"	"b"	"SYN14641;"
"213"	1	13687079	"b000212"	"b"	"SYN14644;SYN14645;"
"214"	1	13739473	"b000213"	"b"	"PZE.101023625;"
"215"	1	14032344	"b000214"	"b"	"PZE.101023852;"
"216"	1	14039445	"b000215"	"b"	"SYN112;"
"217"	1	14168358	"b000216"	"b"	"PZE.101024131;"
"218"	1	14509380	"b000217"	"b"	"PZA03663.2;"
"219"	1	14510261	"b000218"	"b"	"PZE.101024452;"
"220"	1	14625059	"b000219"	"b"	"SYN25067;"
"221"	1	14632779	"b000220"	"b"	"SYN25072;SYN25071;SYN25069;SYN25068;csu1171.2;PUT.163a.60345927.2539;PZE.101024519;PZA01497.1;"
"222"	1	14709426	"b000221"	"b"	"PZE.101024556;"
"223"	1	14818025	"b000222"	"b"	"PZE.101024700;"
"224"	1	14852237	"b000223"	"b"	"SYN25022;"
"225"	1	14890101.5	"b000224"	"b"	"PZE.101024779;SYN25015;PZE.101024808;PZE.101024809;SYN25029;SYN33163;"
"226"	1	14959203	"b000225"	"b"	"PZA01652.1;"
"227"	1	14960382	"b000226"	"b"	"SYN33162;"
"228"	1	15067963	"b000227"	"b"	"PZE.101025101;"
"229"	1	15071288	"b000228"	"b"	"SYN31161;"
"230"	1	15170295	"b000229"	"b"	"SYN31166;"
"231"	1	15170385	"b000230"	"b"	"SYN31163;"
"232"	1	15170841	"b000231"	"b"	"SYNGENTA10955;"
"233"	1	15354211	"b000232"	"b"	"SYN22236;"
"234"	1	15491852	"b000233"	"b"	"SYN22238;"
"235"	1	15621228	"b000234"	"b"	"SYN20196;PZE.101026095;PZE.101026096;"
"236"	1	15775277	"b000235"	"b"	"SYN5068;"
"237"	1	15776111.5	"b000236"	"b"	"SYN5061;SYNGENTA10737;"
"238"	1	15781765.5	"b000237"	"b"	"SYN5056;SYN5065;PZE.101026206;PZE.101026218;SYN5063;"
"239"	1	15808888	"b000238"	"b"	"PZE.101026314;"
"240"	1	15907469	"b000239"	"b"	"PZE.101026429;"
"241"	1	15992259	"b000240"	"b"	"PUT.163a.76282462.3845;"
"242"	1	16190160.5	"b000241"	"b"	"PZE.101027125;PZE.101027158;"
"243"	1	16342228	"b000242"	"b"	"ZM008441.0588;PZE.101027351;PZE.101027362;"
"244"	1	16371704	"b000243"	"b"	"PZE.101027182;"
"245"	1	16579851	"b000244"	"b"	"SYN14297;"
"246"	1	16603472.5	"b000245"	"b"	"PZE.101027807;PUT.163a.50327548.2188;PUT.163a.76287542.3906;PUT.163a.149084683.873;"
"247"	1	16784467	"b000246"	"b"	"PUT.163a.71311320.3113;"
"248"	1	16784593	"b000247"	"b"	"PUT.163a.71311320.3110;"
"249"	1	16788319	"b000248"	"b"	"PZE.101028104;"
"250"	1	16788736	"b000249"	"b"	"PZE.101028121;"
"251"	1	16792521	"b000250"	"b"	"SYN362;"
"252"	1	16800487	"b000251"	"b"	"SYN364;"
"253"	1	16802074	"b000252"	"b"	"PZE.101028242;"
"254"	1	16826305	"b000253"	"b"	"SYN367;"
"255"	1	17493297	"b000254"	"b"	"PZE.101028930;"
"256"	1	17528163	"b000255"	"b"	"PZE.101029123;"
"257"	1	17625530	"b000256"	"b"	"SYN33277;"
"258"	1	17660468	"b000257"	"b"	"SYN33270;SYN33269;"
"259"	1	17666998	"b000258"	"b"	"PZB00718.5;"
"260"	1	17667362	"b000259"	"b"	"PZB00718.3;"
"261"	1	17695889	"b000260"	"b"	"PZE.101029587;"
"262"	1	17715329	"b000261"	"b"	"SYN30822;SYN30825;SYN30824;"
"263"	1	17739746	"b000262"	"b"	"PZE.101029689;"
"264"	1	17745804	"b000263"	"b"	"SYN30830;"
"265"	1	17828621	"b000264"	"b"	"PZE.101029737;"
"266"	1	17832205	"b000265"	"b"	"PZE.101029748;"
"267"	1	17843007	"b000266"	"b"	"PZE.101029759;"
"268"	1	17850815	"b000267"	"b"	"PZE.101029820;"
"269"	1	17881884	"b000268"	"b"	"SYN10534;"
"270"	1	17884650	"b000269"	"b"	"SYN10533;"
"271"	1	17963080	"b000270"	"b"	"PZE.101029990;"
"272"	1	17963743	"b000271"	"b"	"PZE.101029991;"
"273"	1	17964387	"b000272"	"b"	"SYN10530;SYN10529;"
"274"	1	17965654	"b000273"	"b"	"SYN10525;"
"275"	1	17971338	"b000274"	"b"	"SYN10536;SYN10537;SYN10531;SYN10528;PZE.101030022;"
"276"	1	18143655	"b000275"	"b"	"SYN101;"
"277"	1	18194446.5	"b000276"	"b"	"PZE.101030211;PZE.101030220;"
"278"	1	18199120	"b000277"	"b"	"PZE.101030221;"
"279"	1	18201645	"b000278"	"b"	"PZE.101030251;"
"280"	1	18202725	"b000279"	"b"	"PZE.101030261;"
"281"	1	18293950	"b000280"	"b"	"PZE.101030300;"
"282"	1	18701382.5	"b000281"	"b"	"PZE.101030561;PZE.101030616;"
"283"	1	18957087	"b000282"	"b"	"PZE.101030692;"
"284"	1	18980563	"b000283"	"b"	"PZA00358.12;"
"285"	1	18984396	"b000284"	"b"	"PZE.101030875;"
"286"	1	19080916	"b000285"	"b"	"PZE.101031043;"
"287"	1	19099272	"b000286"	"b"	"PZE.101031053;"
"288"	1	19100675	"b000287"	"b"	"PZE.101031077;"
"289"	1	19103803	"b000288"	"b"	"PZE.101031146;"
"290"	1	19253162	"b000289"	"b"	"SYNGENTA18049;"
"291"	1	19262378	"b000290"	"b"	"PZE.101031542;"
"292"	1	19328048	"b000291"	"b"	"PUT.163a.148944618.481;"
"293"	1	19346576	"b000292"	"b"	"PZE.101031655;"
"294"	1	19640811	"b000293"	"b"	"PZE.101032015;"
"295"	1	19693443.5	"b000294"	"b"	"SYN38627;SYN38628;SYN38626;"
"296"	1	19698081	"b000295"	"b"	"PZE.101032230;PZE.101032246;PZE.101032249;"
"297"	1	20035796	"b000296"	"b"	"PZE.101032517;PZE.101032702;PZE.101032703;"
"298"	1	20096952	"b000297"	"b"	"PZE.101032704;"
"299"	1	20106601	"b000298"	"b"	"SYN35792;"
"300"	1	20429822.5	"b000299"	"b"	"SYN28649;SYN28651;PZE.101032822;SYN28648;PZE.101032815;SYN24828;SYN24827;PZE.101032846;SYN27887;"
"301"	1	20903447	"b000300"	"b"	"SYN27599;"
"302"	1	20954883	"b000301"	"b"	"PZE.101032956;PZE.101032973;PZE.101032974;"
"303"	1	21037345	"b000302"	"b"	"PZE.101032978;PZE.101032991;"
"304"	1	21421624.5	"b000303"	"b"	"PZE.101033119;PZE.101033184;SYN18699;"
"305"	1	21466619	"b000304"	"b"	"SYN18708;"
"306"	1	21467029.5	"b000305"	"b"	"SYN18706;SYN18710;"
"307"	1	21467678.5	"b000306"	"b"	"SYN18709;PZA00425.11;"
"308"	1	21525564	"b000307"	"b"	"SYN18698;"
"309"	1	21568570	"b000308"	"b"	"PZE.101033489;"
"310"	1	21682502	"b000309"	"b"	"PZE.101033613;"
"311"	1	21684527	"b000310"	"b"	"PZE.101033622;"
"312"	1	21710836	"b000311"	"b"	"PZE.101033801;"
"313"	1	21759934	"b000312"	"b"	"PZE.101034052;"
"314"	1	21988273	"b000313"	"b"	"PZE.101034091;SYN431;PZE.101034101;"
"315"	1	22253283	"b000314"	"b"	"PHM13619.5;"
"316"	1	22380781	"b000315"	"b"	"SYN18917;"
"317"	1	22383076	"b000316"	"b"	"SYN18916;PZE.101034427;"
"318"	1	22383989	"b000317"	"b"	"PZE.101034431;"
"319"	1	22437974	"b000318"	"b"	"SYN18921;"
"320"	1	22595964	"b000319"	"b"	"PZA02487.1;"
"321"	1	22632923	"b000320"	"b"	"PUT.163a.60353197.2708;"
"322"	1	22645687	"b000321"	"b"	"PZE.101035008;"
"323"	1	22774453	"b000322"	"b"	"PZE.101035105;"
"324"	1	23054862	"b000323"	"b"	"PZE.101035341;"
"325"	1	23218970.5	"b000324"	"b"	"PZE.101035640;SYN13194;SYN13192;"
"326"	1	23235493.5	"b000325"	"b"	"PZE.101035737;PZD00096.1;"
"327"	1	23242215	"b000326"	"b"	"PZD00098.3;"
"328"	1	23244871	"b000327"	"b"	"SYNGENTA17578;SYN13196;SYN13195;"
"329"	1	23564131	"b000328"	"b"	"PZE.101036181;"
"330"	1	23612940	"b000329"	"b"	"PZE.101036305;SYN25850;PZE.101036310;"
"331"	1	23615962	"b000330"	"b"	"PZE.101036318;"
"332"	1	23792140	"b000331"	"b"	"PZE.101036338;PZE.101036609;"
"333"	1	24052120	"b000332"	"b"	"PZE.101036683;"
"334"	1	24194242	"b000333"	"b"	"PZE.101036799;"
"335"	1	24203717	"b000334"	"b"	"PZE.101036862;"
"336"	1	24208278	"b000335"	"b"	"SYN39147;"
"337"	1	24225863	"b000336"	"b"	"SYN7040;"
"338"	1	24296248	"b000337"	"b"	"PZE.101036991;"
"339"	1	24308521	"b000338"	"b"	"SYN7039;"
"340"	1	24408873	"b000339"	"b"	"PZE.101037142;"
"341"	1	24507957	"b000340"	"b"	"PZE.101037191;"
"342"	1	24510735	"b000341"	"b"	"PZE.101037211;"
"343"	1	24584702	"b000342"	"b"	"PZE.101037244;SYN5537;"
"344"	1	24585840	"b000343"	"b"	"SYN5538;"
"345"	1	25016402	"b000344"	"b"	"PZE.101037751;SYNGENTA10989;PZE.101037854;"
"346"	1	25157944	"b000345"	"b"	"SYN87;"
"347"	1	25287214	"b000346"	"b"	"PZE.101038026;"
"348"	1	25329962	"b000347"	"b"	"PUT.163a.4314770.2048;PZE.101038058;"
"349"	1	25376989	"b000348"	"b"	"PZE.101038176;"
"350"	1	25400235	"b000349"	"b"	"PZE.101038315;"
"351"	1	25411160	"b000350"	"b"	"SYN16271;"
"352"	1	25412869	"b000351"	"b"	"SYN16264;SYN16262;SYN16261;"
"353"	1	25415180.5	"b000352"	"b"	"SYN16275;SYN16276;SYN16259;"
"354"	1	25425873	"b000353"	"b"	"SYN16258;"
"355"	1	25426052	"b000354"	"b"	"SYN16272;"
"356"	1	25426090	"b000355"	"b"	"SYN16274;"
"357"	1	25426430	"b000356"	"b"	"PUT.163a.76289376.3924;"
"358"	1	25426532	"b000357"	"b"	"SYN16268;"
"359"	1	25623520	"b000358"	"b"	"PZE.101038492;"
"360"	1	25634022	"b000359"	"b"	"SYN33012;"
"361"	1	25635415	"b000360"	"b"	"PZE.101038611;"
"362"	1	25820784	"b000361"	"b"	"PZE.101038943;"
"363"	1	25824731.5	"b000362"	"b"	"SYN30334;SYN30333;SYN30332;SYN30331;"
"364"	1	25878895	"b000363"	"b"	"PZE.101038989;"
"365"	1	25884891	"b000364"	"b"	"PZE.101039024;"
"366"	1	26291986	"b000365"	"b"	"PUT.163a.93016767.4837;PZE.101039198;"
"367"	1	26433098	"b000366"	"b"	"PZE.101039199;"
"368"	1	26433514	"b000367"	"b"	"PZE.101039207;"
"369"	1	26566972.5	"b000368"	"b"	"SYN27581;PZE.101039351;PZE.101039371;PZE.101039466;PZE.101039469;"
"370"	1	26825577	"b000369"	"b"	"SYN246;SYN248;SYN252;"
"371"	1	26916190.5	"b000370"	"b"	"PZE.101039624;PZE.101039648;"
"372"	1	26948708	"b000371"	"b"	"PZE.101039655;"
"373"	1	27122000	"b000372"	"b"	"SYN29903;"
"374"	1	27379439	"b000373"	"b"	"PZE.101040594;"
"375"	1	27445817	"b000374"	"b"	"SYN21665;SYN21657;SYN21670;SYN21669;PZE.101040619;SYN15800;SYN15798;SYN15796;PZE.101040677;"
"376"	1	27552783	"b000375"	"b"	"PZE.101040783;"
"377"	1	27555261	"b000376"	"b"	"PZE.101040838;"
"378"	1	27626654	"b000377"	"b"	"PZE.101040895;"
"379"	1	27627320	"b000378"	"b"	"SYN68;"
"380"	1	27628115	"b000379"	"b"	"SYN71;"
"381"	1	27628132	"b000380"	"b"	"SYN75;"
"382"	1	27641745.5	"b000381"	"b"	"SYN74;SYN63;"
"383"	1	27804092	"b000382"	"b"	"PZE.101041178;"
"384"	1	27913189.5	"b000383"	"b"	"SYN24633;SYN24635;"
"385"	1	27978827	"b000384"	"b"	"ZM010667.0876;"
"386"	1	28376885	"b000385"	"b"	"SYN23119;"
"387"	1	28417212	"b000386"	"b"	"PZE.101041588;"
"388"	1	28421579	"b000387"	"b"	"PZB02058.2;"
"389"	1	28421841	"b000388"	"b"	"PZB02058.1;"
"390"	1	28421930	"b000389"	"b"	"PZE.101041602;"
"391"	1	28421953	"b000390"	"b"	"PZB02058.3;"
"392"	1	28446550	"b000391"	"b"	"PUT.163a.149085801.877;"
"393"	1	28446659	"b000392"	"b"	"PUT.163a.149085801.876;"
"394"	1	28563237.5	"b000393"	"b"	"PZE.101041837;PZE.101041854;"
"395"	1	28610618	"b000394"	"b"	"SYN6614;"
"396"	1	28614487	"b000395"	"b"	"PZE.101041995;"
"397"	1	28624041.5	"b000396"	"b"	"PZE.101042009;PZE.101042039;"
"398"	1	28633411	"b000397"	"b"	"PZE.101042040;"
"399"	1	28636325	"b000398"	"b"	"PZE.101042041;"
"400"	1	28781447.5	"b000399"	"b"	"PZE.101042156;PZE.101042195;"
"401"	1	28796566	"b000400"	"b"	"PZE.101042196;"
"402"	1	28799596	"b000401"	"b"	"SYNGENTA14642;"
"403"	1	28927650	"b000402"	"b"	"PZE.101042341;"
"404"	1	28964147	"b000403"	"b"	"PZE.101042424;"
"405"	1	29305389.5	"b000404"	"b"	"SYN23449;PZE.101043094;"
"406"	1	29355902	"b000405"	"b"	"PZE.101043096;"
"407"	1	29400930	"b000406"	"b"	"PZE.101043180;"
"408"	1	29404209.5	"b000407"	"b"	"PZE.101043186;PZE.101043189;"
"409"	1	29550398	"b000408"	"b"	"PZE.101043507;"
"410"	1	29551638	"b000409"	"b"	"PZE.101043512;"
"411"	1	29681768	"b000410"	"b"	"PZE.101043600;"
"412"	1	29726090	"b000411"	"b"	"PZE.101043656;PZE.101043669;PZE.101043670;PZE.101043674;"
